id,short_nm,full_nm,unit,on12_02,on19_02,goal,growth,progress
1,Активные клиенты,АКТИВНЫЕ КЛИЕНТЫ количество_ ед,ед.,2,,50,-2 ,0.0%
2,Активные пользователи,АКТИВНЫЕ ПОЛЬЗОВАТЕЛИ количество_ чел,чел.,13,,50,-13 ,0.0%
3,Товары заказанные,ЗАКАЗАНО ТОВАРОВ количество позиций_ ед. (по заключенным договорам),ед.,14,,1000,-14 ,0.0%
4,Коммерческие закупки,КОММЕРЧЕСКИЕ ЗАКУПКИ сумма договоров_ млн.руб. (по заключенным договорам),млн.руб.,196.3,,25000,-196 ,0.0%
5,Клиенты ГПН,Количество клиентов ГПН_ ед,ед.,6,,22,-6 ,0%
6,Внешние клиенты,Количество внешних клиентов_ ед.,ед.,21,,50,-21 ,0%
7,Заявки на закупку от внутренних клиентов,Количество полученных заявок на закупку от внутренних клиентов_ шт,шт.,309,,,-309 ,
8,Заявки на закупку от внешних клиентов,Количество полученных заявок на закупку от внешних клиентов_ шт,шт.,236,,,-236 ,
9,Заявленные товары внутренних клиентов,Количество заявленных к закупке товаров от внутренних клиентов_ шт,шт.,2733,,,-2733 ,
10,Заявленные товары внешних клиентов,Количество заявленных к закупке товаров от внешних клиентов_ шт,шт.,2285,,,-2285 ,
11,Заключенные договоры,Количество заключенных на платформе договоров с внешними клиентами_ шт,шт.,1,,,-1 ,
12,Посетители,Посетители_ ед,ед.,890,,,-890 ,
13,Новые посетители,Новые посетители_ ед,ед.,490,,,-490 ,
14,Время на сайте,Время на сайте_ мин_сек,мин_сек,9:58,,,-0.42 ,
15,Отказы,Отказы_ %,%,16.5,,,-17 ,
16,Глубина просмотра,Глубина просмотра_ стр,стр.,1.96,,,-2.0 ,
17,Тип устройства,смартфон,%,1,,,-1 ,
18,Тип устройства,ПК,%,98,,,-98 ,
19,Тип устройства,планшет,%,1,,,-1 ,
